Standard Number,Standard Version,Standard Title,Standard Level,Standard Type,Assessment Type,Credits,Domain,Standard Status,Standard Version Status
1,6,Prepare and sow outdoor seedbeds manually,1,Unit,Internal,5,Production Horticulture,Registered,Current
2,1,Observe safety precautions when using pesticides,1,Unit,Internal,1,Pest Control,Expired,Current
3,3,Demonstrate understanding of the nature and requirements of an agricultural career,1,Unit,Internal,2,General Agriculture,Expired,Current
4,6,Maintain hand tools and service small engines used in a primary industry operation,2,Unit,Internal,5,Primary Sector Core Skills,Registered,Current
5,3,Check and drive a basic wheel tractor,2,Unit,Internal,2,Agricultural Vehicles and Machinery,Expired,Current
6,2,Check and ride farm motorcycles and ATVs (all terrain vehicles),2,Unit,Internal,3,Land Skills,Expired,Current
7,1,Apply pesticides by non-motorised applicators,2,Unit,Internal,3,Pest Control,Expired,Current
8,1,Identify and control weeds,2,Unit,Internal,2,Pest Control,Expired,Current
9,3,Maintain and assist in laying agricultural/horticultural drains,1,Unit,Internal,2,Agricultural Resource Maintenance,Expired,Current
11,3,Repair non-electric fences,2,Unit,Internal,3,Fencing,Expired,Current
12,5,Handle wire,2,Unit,Internal,2,Fencing,Expired,Current
13,2,Demonstrate knowledge of chainsaws,2,Unit,Internal,3,Land Skills,Expired,Current
14,5,Demonstrate knowledge of soil properties,2,Unit,Internal,4,Production Horticulture,Expired,Current
15,7,"Describe the end use of crops and factors which affect crop yields, and interpret seed quality",2,Unit,Internal,2,Farming Skills,Expired,Current
16,6,"Describe pasture plants and production, and ways to optimise pasture growth and utilisation",3,Unit,Internal,5,Farming Skills,Expired,Current
17,3,Perform elementary beekeeping practices,2,Unit,Internal,2,Apiculture,Expired,Current
18,7,Demonstrate knowledge of animal anatomy and physiology,3,Unit,Internal,4,Farming Skills,Registered,Current
19,5,Make minor repairs of horticultural property structures,2,Unit,Internal,3,Production Horticulture,Expired,Current
20,1,"Demonstrate knowledge of plant pests, diseases, disorders and their control",2,Unit,Internal,1,Pest Control,Expired,Current
21,5,Maintain agricultural and horticultural property structures,3,Unit,Internal,3,Production Horticulture,Expired,Current
22,3,Service and repair agricultural and/or horticultural machinery,2,Unit,Internal,3,Agricultural Vehicles and Machinery,Expired,Current
23,2,Drive wheel tractors and implements,3,Unit,Internal,4,Land Skills,Expired,Current
24,3,Drive crawler tractors and implements in open conditions,3,Unit,Internal,3,Agricultural Vehicles and Machinery,Expired,Current
26,3,Apply fertilisers using tractor mounted or trailed equipment,3,Unit,Internal,3,Agricultural Vehicles and Machinery,Expired,Current
27,5,Cultivate by tractor mounted implements,3,Unit,Internal,6,Production Horticulture,Expired,Current
28,1,"Identify plant pests, diseases and disorders",3,Unit,Internal,2,Pest Control,Expired,Current
29,1,Apply pesticides by motorised applicators,3,Unit,Internal,3,Pest Control,Expired,Current
30,6,Demonstrate knowledge of agricultural/horticultural property water systems,3,Unit,Internal,3,Agricultural Resource Maintenance,Expired,Current
31,7,"Connect up, and perform repairs and maintenance on an on-farm water supply system",2,Unit,Internal,2,Agricultural Resource Maintenance,Expired,Current
32,3,Monitor and interpret weather information,2,Unit,Internal,3,General Agriculture,Expired,Current
33,5,Explain properties of soil,3,Unit,Internal,4,Production Horticulture,Expired,Current
34,5,Demonstrate knowledge of the modification of soils,3,Unit,Internal,3,Production Horticulture,Expired,Current
35,5,Demonstrate knowledge of fertilisers,3,Unit,Internal,3,Production Horticulture,Expired,Current
36,6,Select fencing support materials,3,Unit,Internal,4,Fencing,Registered,Current
37,6,Install fencing wire,3,Unit,Internal,6,Fencing,Registered,Current
38,5,Install posts and battens for fencing,3,Unit,Internal,4,Fencing,Expired,Current
39,6,Install fence netting,3,Unit,Internal,8,Fencing,Registered,Current
40,3,"Construct wooden diagonal stay end assemblies, strainer with breast plate assembly and angle posts",4,Unit,Internal,5,Fencing,Expired,Current
41,5,Install wooden horizontal and tie back assemblies,4,Unit,Internal,5,Fencing,Expired,Current
42,5,Construct and install rails and gates,3,Unit,Internal,3,Fencing,Expired,Current
43,10,Maintain a chainsaw,3,Unit,Internal,10,Forest Operations,Registered,Current
44,6,Establish and maintain shelter,2,Unit,Internal,5,Production Horticulture,Expired,Current
45,3,Demonstrate knowledge of pasture production methods,3,Unit,Internal,3,Farming Skills,Expired,Current
46,3,Undertake general beekeeping tasks,3,Unit,Internal,4,Apiculture,Expired,Current
47,3,Harvest honey,3,Unit,Internal,3,Apiculture,Expired,Current
49,3,Install agricultural/horticultural drainage systems,3,Unit,Internal,3,Agricultural Resource Maintenance,Expired,Current
50,6,Prepare seedbeds and sow crops on a field scale,4,Unit,Internal,10,Production Horticulture,Expired,Current
51,3,Demonstrate knowledge of soil and water conservation in primary production,3,Unit,Internal,4,General Agriculture,Expired,Current
52,1,Control weeds,4,Unit,Internal,3,Pest Control,Expired,Current
53,1,Calibrate agricultural/horticultural equipment,3,Unit,Internal,3,Land Skills,Expired,Current
54,3,Manipulate hives in spring and autumn,4,Unit,Internal,6,Apiculture,Expired,Current
55,3,Control pests and diseases in the hive,3,Unit,Internal,4,Apiculture,Expired,Current
56,10,Respond orally to customer enquiries,1,Unit,Internal,2,Work and Study Skills,Registered,Current
57,10,Provide customer service,2,Unit,Internal,2,Service Delivery,Registered,Current
58,7,Process simple sales transactions in a retail or distribution environment in accordance with organisational procedures,1,Unit,Internal,2,Sales Transactions,Expired,Current
59,2,Sell goods and services,3,Unit,Internal,3,Selling Skills,Expired,Current
60,2,Complete a complex sales transaction,3,Unit,Internal,3,Selling Skills,Expired,Current
61,11,Sell products using a customer-focused business relationship,4,Unit,Internal,6,Sales,Registered,Current
62,10,Maintain personal presentation and a positive attitude in a workplace involving customer contact,2,Unit,Internal,3,Service Delivery,Registered,Current
63,7,Promote goods and/or services over the telephone,3,Unit,Internal,3,Merchandising and Marketing,Registered,Current
64,11,Perform calculations for a specified workplace,1,Unit,Internal,2,Work and Study Skills,Registered,Current
65,5,Produce a promotion plan for a given product and/or service,4,Unit,Internal,4,Sales Promotion,Expired,Current
66,5,Produce a final draft for a sales promotion leaflet and/or brochure in a given situation,3,Unit,Internal,4,Sales Promotion,Expired,Current
67,8,Produce and distribute promotional materials in a retail or distribution environment,4,Unit,Internal,4,Merchandising and Marketing,Registered,Current
68,8,Produce and implement a public relations plan,4,Unit,Internal,4,Retail and Distribution Management,Expired,Current
69,1,Shampoo the hair and scalp,1,Unit,Internal,4,Hairdressing,Expired,Current
70,1,Identify and maintain the tools of trade,1,Unit,Internal,2,Hairdressing,Expired,Current
71,1,Neutralise a permanent wave,1,Unit,Internal,8,Hairdressing,Expired,Current
72,1,Apply treatments to the hair and scalp,1,Unit,Internal,2,Hairdressing,Expired,Current
73,1,Blow dry the hair into simple styles,2,Unit,Internal,10,Hairdressing,Expired,Current
74,1,Set the hair for simple styles,2,Unit,Internal,10,Hairdressing,Expired,Current
75,1,Mould and finger wave the hair,2,Unit,Internal,6,Hairdressing,Expired,Current
76,1,Demonstrate knowledge of hairdressing trichology,2,Unit,Internal,8,Hairdressing,Expired,Current
77,1,Select and apply temporary hair colour,2,Unit,Internal,1,Hairdressing,Expired,Current
78,1,Select and apply semipermanent hair colour,2,Unit,Internal,8,Hairdressing,Expired,Current
79,1,Dress long hair into simple styles,2,Unit,Internal,1,Hairdressing,Expired,Current
80,1,Remove unwanted additives from the hair,3,Unit,Internal,4,Hairdressing,Expired,Current
81,1,Select treatments for the hair and scalp,3,Unit,Internal,1,Hairdressing,Expired,Current
82,1,Blow dry the hair for complex styles,3,Unit,Internal,10,Hairdressing,Expired,Current
83,1,Set the hair for complex styles,3,Unit,Internal,10,Hairdressing,Expired,Current
84,1,Dress long hair into a variety of complex styles,3,Unit,Internal,8,Hairdressing,Expired,Current
85,1,Identify diseases and disorders of the hair and scalp,3,Unit,Internal,4,Hairdressing,Expired,Current
86,1,Permanently wave the hair,3,Unit,Internal,12,Hairdressing,Expired,Current
87,1,Select and apply permanent hair colour,3,Unit,Internal,12,Hairdressing,Expired,Current
88,1,Cut the hair with scissors and clippers,3,Unit,Internal,30,Hairdressing,Expired,Current
89,1,Cut the hair with a razor,3,Unit,Internal,20,Hairdressing,Expired,Current
90,1,Cut facial hair,3,Unit,Internal,2,Hairdressing,Expired,Current
91,1,Relax a permanent wave,3,Unit,Internal,1,Hairdressing,Expired,Current
92,1,Correct unwanted colour tones in the hair,3,Unit,Internal,4,Hairdressing,Expired,Current
93,1,Bleach and tone the hair,4,Unit,Internal,20,Hairdressing,Expired,Current
94,1,Straighten the hair permanently,4,Unit,Internal,8,Hairdressing,Expired,Current
95,1,Demonstrate knowledge of the history of hair design,2,Unit,Internal,2,Hairdressing,Expired,Current
96,1,Style wigs and hairpieces,4,Unit,Internal,8,Hairdressing,Expired,Current
97,5,Apply surface coatings by conventional spray techniques,3,Unit,Internal,12,Spray Painting,Expired,Current
98,5,"Reduce exposure to health and safety hazards in painting, decorating, and coating",2,Unit,Internal,5,Decorating,Expired,Current
99,5,Appreciate and use colour in paint finishing,2,Unit,Internal,6,Spray Painting,Expired,Current
100,5,Apply liquid surface coating by airless spray techniques,3,Unit,Internal,8,Spray Painting,Expired,Current
101,8,Develop and use keyboarding skills to enter text,1,Unit,Internal,3,Business Information Processing,Expired,Current
102,8,Consolidate keyboarding skills and produce accurate text based documents,1,Unit,Internal,3,Business Information Processing,Expired,Current
103,9,Use data entry skills to input data,2,Unit,Internal,3,Business Information Processing,Expired,Current
104,8,Demonstrate knowledge of and apply audio transcription techniques to produce text,2,Unit,Internal,2,Business Information Processing,Expired,Current
105,8,Transcribe dictation at 80 words per minute (wpm),3,Unit,Internal,3,Business Information Processing,Expired,Current
106,8,Transcribe dictation at 100 words per minute (wpm),4,Unit,Internal,5,Business Information Processing,Expired,Current
107,9,Apply text processing skills to produce communications in a business or organisational context,2,Unit,Internal,5,Business Information Processing,Expired,Current
108,8,Apply text processing skills to produce business documents,3,Unit,Internal,5,Business Information Processing,Expired,Current
109,8,Apply text processing skills to produce specialist documents,4,Unit,Internal,6,Business Information Processing,Expired,Current
110,8,Review text processing and information production practices in a business or organisational context,5,Unit,Internal,8,Business Information Processing,Expired,Current
111,10,Use a word processor to produce documents for a business or organisation,2,Unit,Internal,5,Business Information Processing,Expired,Current
112,9,Produce business or organisational information using word processing functions,3,Unit,Internal,5,Business Information Processing,Expired,Current
113,9,Produce business or organisational information using advanced word processing functions,4,Unit,Internal,10,Business Information Processing,Expired,Current
114,8,Demonstrate knowledge of and use office automation systems,3,Unit,Internal,4,Business Information Management,Expired,Current
115,6,Write at 40 words per minute (wpm) and transcribe notes to produce required information,1,Unit,Internal,10,Business Information Processing,Expired,Current
116,6,Write shorthand at 60 words per minute (wpm) and transcribe to produce required information,2,Unit,Internal,10,Business Information Processing,Expired,Current
117,9,Write shorthand at 80 words per minute (wpm) and transcribe to produce required information,3,Unit,Internal,10,Business Information Processing,Registered,Current
118,6,Write shorthand at 100 words per minute (wpm) and transcribe to produce required information,4,Unit,Internal,10,Business Information Processing,Expired,Current
119,6,Write shorthand at 120 words per minute (wpm) and transcribe to produce required information,5,Unit,Internal,10,Business Information Processing,Expired,Current
121,10,Demonstrate and apply knowledge of office equipment and administration processes,2,Unit,Internal,4,Business Administration Services,Registered,Current
122,9,Provide safe and secure customer-focussed reception services,3,Unit,Internal,5,Business Administration Services,Registered,Current
123,8,"Use office information, copying, and telecommunication systems",3,Unit,Internal,5,Business Administration Services,Expired,Current
124,4,Provide executive and/or personal assistant services,5,Unit,Internal,10,Business Administration Services,Expired,Current
125,8,Demonstrate knowledge of record management systems within an organisation,3,Unit,Internal,5,Business Information Management,Expired,Current
126,5,Provide medical administration services,3,Unit,Internal,5,Business Administration Services,Expired,Current
127,6,"Demonstrate knowledge required in legal administration roles, and produce legal documents",3,Unit,Internal,5,Business Administration Services,Expired,Current
128,4,Identify the New Zealand legal structure in relation to legal administration,3,Unit,Internal,10,Business Administration Services,Expired,Current
129,4,Establish links with and produce information for the information media,3,Unit,Internal,3,Business Information Management,Expired,Current
130,6,Control log yard operations,4,Unit,Internal,10,Wood Preparation,Registered,Current
131,5,"Coordinate the movement, storage, and despatch of in-process and finished timber products",4,Unit,Internal,30,Sawmilling,Expired,Current
132,4,Control sawmill operations,5,Unit,Internal,45,Sawmilling,Expired,Current
133,5,Control timber yard operations,5,Unit,Internal,40,Sawmilling,Expired,Current
134,5,Operate a debarker,3,Unit,Internal,5,Wood Preparation,Registered,Current
135,6,Operate a cross-cut saw,3,Unit,Internal,3,Sawmilling,Expired,Current
136,2,Operate saw centre without operator-adjustable setworks,3,Unit,Internal,4,Sawmilling,Expired,Current
137,2,Operate saw centre with operator-adjustable setworks,4,Unit,Internal,18,Sawmilling,Expired,Current
138,2,Operate saw centre with operator-adjustable setworks and log transport system,4,Unit,Internal,28,Sawmilling,Expired,Current
139,5,Grade timber to NZS 3631:1988 Group III rules at 80% accuracy,3,Unit,Internal,20,Timber Grading,Expired,Current
140,4,Grade timber to NZS 3631:1988 Group III rules,4,Unit,Internal,20,Timber Grading,Expired,Current
141,6,Operate a mechanical stress grading machine to grade timber,4,Unit,Internal,20,Timber Grading,Expired,Current
142,4,Demonstrate knowledge of wood drying operations and establish correction factors for a moisture meter,3,Unit,Internal,8,Wood Drying,Expired,Current
143,7,Fillet and build a packet of timber for further processing,2,Unit,Internal,3,Timber Yarding,Registered,Current
144,3,Air dry timber or round wood,2,Unit,Internal,3,Wood Drying,Expired,Current
145,6,Dry wood products using a dehumidifier or heat pump process,3,Unit,Internal,5,Timber Drying and Treatment,Expired,Current
146,5,Determine wood moisture content using a moisture meter,3,Unit,Internal,3,Timber Drying and Treatment,Expired,Current
147,2,Apply principles of legislation affecting wood preservation operations,3,Unit,Internal,5,Wood Preservation,Expired,Current
148,4,Pressure treat wood,4,Unit,Internal,30,Wood Preservation,Expired,Current
149,4,Treat wood by the diffusion process,3,Unit,Internal,6,Wood Preservation,Expired,Current
150,4,Treat wood with antisapstain chemicals,3,Unit,Internal,4,Wood Preservation,Expired,Current
151,4,Pre-steam wood under pressure for wood preservation treatment,3,Unit,Internal,4,Wood Preservation,Expired,Current
152,6,Treat wood with light organic solvent preservative,4,Unit,Internal,20,Timber Drying and Treatment,Expired,Current
153,1,Operate creosote wood preservation plant,4,Unit,Internal,10,Wood Preservation,Expired,Current
154,6,Fix copper chrome arsenic preservatives in wood using heat assistance,3,Unit,Internal,5,Timber Drying and Treatment,Expired,Current
155,7,Demonstrate knowledge of properties of wood,3,Unit,Internal,10,Wood Manufacturing Foundation Skills,Registered,Current
156,10,Demonstrate knowledge of phytosanitary standards in the wood manufacturing industry,2,Unit,Internal,3,Wood Manufacturing Foundation Skills,Registered,Current
157,7,Demonstrate knowledge of the principles of New Zealand timber grading,2,Unit,Internal,10,Wood Manufacturing Foundation Skills,Expired,Current
158,2,Demonstrate knowledge of the structure and economics of the timber industry and the utilisation of timber products,1,Unit,Internal,8,Wood Technology,Expired,Current
159,7,Demonstrate knowledge of environmental issues in wood manufacturing industries,2,Unit,Internal,5,Wood Manufacturing Foundation Skills,Registered,Current
160,7,Demonstrate knowledge of the principles of sawmilling,2,Unit,Internal,7,Wood Manufacturing Foundation Skills,Registered,Current
161,5,Explain principles of timber machining,2,Unit,Internal,5,Timber Machining,Expired,Current
162,8,Demonstrate knowledge of the principles of wood drying,2,Unit,Internal,5,Wood Manufacturing Foundation Skills,Registered,Current
163,1,Demonstrate knowledge of the principles of wood preservation and antisapstain treatment,2,Unit,Internal,5,Solid Wood Processing,Expired,Current
164,5,Tally timber,2,Unit,Internal,3,Timber Yarding,Registered,Current
165,5,"Handle, sort, and stack timber",2,Unit,Internal,3,Timber Yarding,Registered,Current
166,5,Confirm log grades and scale logs,3,Unit,Internal,10,Wood Preparation,Registered,Current
167,10,Practise food safety methods in a food business under supervision,2,Unit,Internal,4,Food Safety,Registered,Current
168,8,"Demonstrate knowledge of food contamination hazards, and control methods used in a food establishment",3,Unit,Internal,4,Food Safety,Registered,Current
169,1,Plan for the production and service of safe food,3,Unit,Internal,2,Food Handling,Expired,Current
170,1,Supervise a food safety programme,4,Unit,Internal,2,Food Handling,Expired,Current
171,1,Write a variety of news stories for print journalism,4,Unit,Internal,5,Print Journalism,Expired,Current
172,1,Conduct interviews for print journalism,4,Unit,Internal,5,Print Journalism,Expired,Current
173,1,Design and lay out pages for publication,3,Unit,Internal,3,Print Journalism,Expired,Current
174,1,Take news photographs for publication,4,Unit,Internal,3,Print Journalism,Expired,Current
175,1,Write news stories for radio broadcast,4,Unit,Internal,5,Radio Journalism,Expired,Current
176,1,Conduct interviews for radio broadcast,4,Unit,Internal,1,Radio Journalism,Expired,Current
177,1,Present radio news for broadcast,4,Unit,Internal,3,Radio Journalism,Expired,Current
178,1,Produce news stories for television broadcast,4,Unit,Internal,5,Television Journalism,Expired,Current
179,1,Conduct interviews for television broadcast,4,Unit,Internal,2,Television Journalism,Expired,Current
180,1,Present television news for broadcast,4,Unit,Internal,3,Television Journalism,Expired,Current
181,1,Co-ordinate the production of television news items for broadcast,5,Unit,Internal,3,Television Journalism,Expired,Current
182,1,Write simple stories of record for print journalism,3,Unit,Internal,5,Print Journalism,Expired,Current
183,1,Conduct an interview for a simple news story,3,Unit,Internal,2,Journalism,Expired,Current
184,1,Apply media law at an elementary reporting level,3,Unit,Internal,2,Journalism,Expired,Current
185,1,Apply media law as a journalist,4,Unit,Internal,3,Journalism,Expired,Current
186,1,Demonstrate knowledge of media ethics and professional practice in journalism,4,Unit,Internal,2,Journalism,Expired,Current
187,1,Identify news for story publication and broadcast,3,Unit,Internal,3,Journalism,Expired,Current
188,1,Conduct telephone interviews for journalism,4,Unit,Internal,1,Journalism,Expired,Current
189,1,Sub-edit news stories for publication and/or broadcast,4,Unit,Internal,1,Journalism,Expired,Current
190,1,Conduct research for journalism,4,Unit,Internal,2,Journalism,Expired,Current
191,1,Gain knowledge of aspects of Maoritanga and issues for reporting,4,Unit,Internal,2,Journalism,Expired,Current
192,1,Gain knowledge of multi-cultural issues and minority groups for reporting,4,Unit,Internal,1,Journalism,Expired,Current
193,1,Work in a newsroom,3,Unit,Internal,2,Journalism,Expired,Current
194,1,Write shorthand for journalism,4,Unit,Internal,8,Journalism,Expired,Current
195,1,Demonstrate numeracy skills for journalism,2,Unit,Internal,1,Journalism,Expired,Current
196,1,Report statistical results for journalism,3,Unit,Internal,2,Journalism,Expired,Current
197,1,Interpret results of samples and surveys for journalism,4,Unit,Internal,1,Journalism,Expired,Current
198,1,Report court and police proceedings for journalism,4,Unit,Internal,4,Journalism,Expired,Current
199,1,Report local body proceedings for journalism,4,Unit,Internal,2,Journalism,Expired,Current
200,1,Interpret seasonal adjustment of time series for journalism,4,Unit,Internal,1,Journalism,Expired,Current
201,1,Operate a personal computer,1,Unit,Internal,3,Information Technology,Expired,Current
202,1,Demonstrate knowledge of personal computer principles,1,Unit,Internal,3,Information Technology,Expired,Current
203,1,Demonstrate knowledge of the principles of a range of computer peripherals,1,Unit,Internal,3,Information Technology,Expired,Current
204,1,Show an understanding of the operation of computer peripherals,2,Unit,Internal,3,Information Technology,Expired,Current
205,1,Manage computer data,2,Unit,Internal,3,Information Processing,Expired,Current
206,1,Use computer operating systems,2,Unit,Internal,2,Information Technology,Expired,Current
207,1,Show an understanding of the principles of computer systems,3,Unit,Internal,3,Information Technology,Expired,Current
208,1,Produce and use computer spreadsheets using base functions,2,Unit,Internal,3,Information Technology,Expired,Current
209,1,Produce and use computer spreadsheets for business use,3,Unit,Internal,3,Information Processing,Expired,Current
210,1,Create and use a computer flatfile database using base functions,2,Unit,Internal,3,Information Processing,Expired,Current
211,1,Create and use a computer flatfile database for business use,3,Unit,Internal,3,Information Processing,Expired,Current
212,1,Produce desktop published documents using base functions,1,Unit,Internal,3,Desktop Publishing,Expired,Current
213,1,Create multi-page desktop published documents,3,Unit,Internal,3,Desktop Publishing,Expired,Current
214,1,Use a computer integrated package,2,Unit,Internal,3,Information Processing,Expired,Current
215,1,"Produce computer graphic material for individual, club or small business use",1,Unit,Internal,1,Information Processing,Expired,Current
216,1,Apply principles of computer programming,2,Unit,Internal,3,Computer Programming,Expired,Current
217,1,Apply principles of structured computer programming,3,Unit,Internal,6,Computer Programming,Expired,Current
218,1,Write a computer program (insert name of language),4,Unit,Internal,24,Computer Programming,Expired,Current
219,1,Show understanding of principles of electronic logic for computing,4,Unit,Internal,9,Information Technology,Expired,Current
220,1,Demonstrate knowledge of the principles of data communication,2,Unit,Internal,1,Information Technology,Expired,Current
221,1,Demonstrate knowledge of the principles of computer networks,3,Unit,Internal,3,Information Technology,Expired,Current
222,1,Demonstrate knowledge of the principles of information technology,1,Unit,Internal,2,Information Technology,Expired,Current
223,1,Prepare for a career in information technology,1,Unit,Internal,2,Information Technology,Expired,Current
225,10,Identify the occupational areas and structure of the New Zealand Automotive Industry,1,Unit,Internal,2,Automotive Administration,Expired,Current
226,10,Perform safe working practices in an automotive workshop,2,Unit,Internal,2,Automotive Workshop Engineering,Expired,Current
227,10,Carry out general engineering tasks to repair and make automotive components,2,Unit,Internal,4,Automotive Workshop Engineering,Expired,Current
228,10,Select and use hand tools and workshop equipment for an automotive application,2,Unit,Internal,5,Automotive Workshop Engineering,Expired,Current
229,11,Identify the general locations and functions of vehicle systems and main components,2,Unit,Internal,4,Automotive Preventive Maintenance,Registered,Current
230,10,Repair and manufacture automotive components by oxy-acetylene gas welding,2,Unit,Internal,3,Automotive Workshop Engineering,Expired,Current
231,11,Demonstrate knowledge of the operation of two and four stroke petrol and diesel engines,2,Unit,Internal,4,Engines,Expired,Current
232,11,Test an automotive electrical circuit,2,Unit,Internal,8,Automotive Electrical and Electronics,Expired,Current
233,11,Service a lead-acid automotive battery,2,Unit,Internal,2,Automotive Electrical and Electronics,Expired,Current
234,10,Demonstrate knowledge of automotive starting and charging systems and their operation,2,Unit,Internal,4,Automotive Electrical and Electronics,Expired,Current
235,10,Demonstrate knowledge of automotive ignition systems and their operation,2,Unit,Internal,4,Automotive Electrical and Electronics,Expired,Current
236,10,Service automotive cooling systems,2,Unit,Internal,4,Engine Repairs,Expired,Current
237,10,"Describe automotive brake, steering, and suspension systems, and their operation",2,Unit,Internal,3,Automotive Preventative Maintenance,Expired,Current
238,10,"Remove and replace wheels and tyres, and balance wheels",2,Unit,Internal,2,Tyres,Expired,Current
239,10,Demonstrate knowledge of automotive manual transmissions,2,Unit,Internal,3,Automotive Transmission Systems,Expired,Current
240,10,Demonstrate knowledge of petrol fuel systems,3,Unit,Internal,3,Automotive Fuel Systems and Exhaust,Expired,Current
241,10,Describe the operation of a diesel fuel system and perform minor servicing tasks,2,Unit,Internal,3,Automotive Fuel Systems and Exhaust,Expired,Current
242,10,Change the fluid and bleed a brake hydraulic system,2,Unit,Internal,2,Vehicle Braking Systems,Expired,Current
243,10,Carry out basic tuning on a four stroke petrol engine under supervision,2,Unit,Internal,4,Engines,Registered,Current
244,11,Disassemble and reassemble a four stroke multi-cylinder engine to a running state,2,Unit,Internal,6,Engines,Registered,Current
245,10,Select and apply lubricants and sealants for automotive and related industry applications,2,Unit,Internal,2,Automotive Preventative Maintenance,Expired,Current
246,4,Receive payment for goods and services in the automotive and retail service industries,1,Unit,Internal,2,Automotive Administration,Expired,Current
247,10,"Prepare a vehicle or machine for use, and shutdown after use",2,Unit,Internal,2,Automotive Preventive Maintenance,Registered,Current
248,10,Demonstrate knowledge of apprenticeship training agreements and negotiation,2,Unit,Internal,1,Automotive Administration,Registered,Current
249,12,Carry out automotive industry personal workplace requirements,2,Unit,Internal,5,Automotive Administration,Expired,Current
252,6,Perform process operations for injection moulding,1,Unit,Internal,4,Injection Moulding,Registered,Current
253,6,Operate the injection moulding machine,2,Unit,Internal,6,Injection Moulding,Expired,Current
254,6,Run and monitor the injection moulding production process,2,Unit,Internal,9,Injection Moulding,Expired,Current
255,6,Control and optimise the injection moulding production process,3,Unit,Internal,12,Injection Moulding,Registered,Current
256,6,Set up simple moulds for injection moulding,2,Unit,Internal,8,Injection Moulding,Expired,Current
257,5,Set up advanced moulds for injection moulding,3,Unit,Internal,7,Injection Moulding,Expired,Current
258,6,Service simple moulds for injection moulding,2,Unit,Internal,6,Injection Moulding,Expired,Current
259,6,Service advanced moulds for injection moulding,2,Unit,Internal,4,Injection Moulding,Expired,Current
260,6,Service and maintain a complex mould for injection moulding,4,Unit,Internal,10,Injection Moulding,Registered,Current
261,6,Perform process operations for thermoforming,1,Unit,Internal,4,Thermoforming,Expired,Current
262,6,Operate a thermoforming process,2,Unit,Internal,6,Thermoforming,Expired,Current
263,6,Run and monitor the production process for vacuum thermoforming,2,Unit,Internal,8,Thermoforming,Expired,Current
264,6,Run and monitor the production process for pressure thermoforming,2,Unit,Internal,8,Thermoforming,Expired,Current
265,6,Control the production process for vacuum thermoforming,3,Unit,Internal,8,Thermoforming,Registered,Current
266,6,Control the production process for pressure thermoforming,3,Unit,Internal,8,Thermoforming,Registered,Current
267,6,Set up tooling for thermoforming,3,Unit,Internal,10,Thermoforming,Registered,Current
268,6,Set up complex tooling for thermoforming,3,Unit,Internal,9,Thermoforming,Expired,Current
269,6,Service tooling for thermoforming,3,Unit,Internal,5,Thermoforming,Registered,Current
270,6,Service complex tooling for thermoforming,3,Unit,Internal,8,Thermoforming,Expired,Current
271,4,Identify and handle plastics materials,1,Unit,Internal,3,Plastics Materials,Expired,Current
272,4,Process and use plastics materials,2,Unit,Internal,4,Plastics Materials,Expired,Current
273,4,Classify and name plastics materials,2,Unit,Internal,6,Plastics Materials,Expired,Current
274,4,Compare melt flow and dimensional stability of plastics materials,3,Unit,Internal,6,Plastics Materials,Expired,Current
275,6,Perform process operations for film conversion,1,Unit,Internal,3,Film Conversion,Expired,Current
276,6,Operate a film conversion machine,2,Unit,Internal,7,Film Conversion,Expired,Current
277,6,Set up and control operations for simple products for film conversion,2,Unit,Internal,12,Film Conversion,Registered,Current
278,6,Set up and control operations for advanced products for film conversion,3,Unit,Internal,14,Film Conversion,Registered,Current
279,6,Perform process operations for film slitting,1,Unit,Internal,3,Film Slitting,Expired,Current
280,6,Set up and control operations for film slitting,2,Unit,Internal,7,Film Slitting,Expired,Current
281,6,Perform basic extrusion process operations,1,Unit,Internal,4,Extrusion,Expired,Current
282,6,Operate the extrusion machine,2,Unit,Internal,8,Extrusion,Expired,Current
283,6,Run and control the extrusion production process,2,Unit,Internal,12,Extrusion,Expired,Current
284,5,Control and optimise the extrusion production process,3,Unit,Internal,8,Extrusion,Expired,Current
285,6,Change dies and set ancillary equipment for extrusion,2,Unit,Internal,10,Extrusion,Expired,Current
286,6,Demonstrate knowledge of advanced extrusion tooling and change extruder screws,3,Unit,Internal,6,Extrusion,Expired,Current
287,6,Perform process operations for blown film extrusion,1,Unit,Internal,4,Blown Film Extrusion,Expired,Current
288,6,Operate a blown film extrusion machine,2,Unit,Internal,8,Blown Film Extrusion,Expired,Current
289,6,"Set up, monitor, and adjust mono-layer production for blown film extrusion",2,Unit,Internal,12,Blown Film Extrusion,Registered,Current
290,5,Run complex production processes and trials on mono-layer blown film extrusion machines,3,Unit,Internal,9,Blown Film Extrusion,Expired,Current
291,6,Operate a blown film extrusion machine for co-extrusion production,2,Unit,Internal,8,Blown Film Extrusion,Registered,Current
292,6,"Set up, monitor, and adjust co-extrusion production for blown film extrusion",3,Unit,Internal,10,Blown Film Extrusion,Registered,Current
293,6,Service mono-layer dies and extruder screws for blown film extrusion,3,Unit,Internal,5,Blown Film Extrusion,Registered,Current
294,6,Coordinate and lead a team to service a co-extrusion die for blown film extrusion,4,Unit,Internal,9,Blown Film Extrusion,Registered,Current
295,6,Perform process operations for extrusion blow moulding,1,Unit,Internal,4,Extrusion Blow Moulding,Expired,Current
