Standard Number,Standard Version,Standard Title,Standard Level,Standard Type,Assessment Type,Credits,Domain,Standard Status,Standard Version Status
90980,3,Interpret accounting information for sole proprietors,1,Achievement,External,4,Accounting - Generic,Expired,Current
90981,3,Make a financial decision for an individual or group,1,Achievement,Internal,3,Accounting - Generic,Expired,Current
90982,3,Demonstrate understanding of cash management for a small entity,1,Achievement,Internal,4,Accounting - Generic,Expired,Current
90983,3,"Demonstrate understanding of consumer choices, using scarcity and/or demand",1,Achievement,External,4,Economics,Expired,Current
90984,3,Demonstrate understanding of decisions a producer makes about production,1,Achievement,Internal,5,Economics,Expired,Current
90985,3,Demonstrate understanding of producer choices using supply,1,Achievement,External,3,Economics,Expired,Current
90986,3,"Demonstrate understanding of how consumer, producer and/or government choices affect society, using market equilibrium",1,Achievement,External,5,Economics,Expired,Current
90987,3,Demonstrate understanding of a government choice where affected groups have different viewpoints,1,Achievement,Internal,4,Economics,Expired,Current
90988,3,Demonstrate understanding of the interdependence of sectors of the New Zealand economy,1,Achievement,Internal,3,Economics,Expired,Current
90989,3,Demonstrate understanding of how individuals interact with the media,1,Achievement,Internal,3,Media Studies,Expired,Current
90990,3,Demonstrate understanding of selected elements of media text(s),1,Achievement,Internal,3,Media Studies,Expired,Current
90991,3,Demonstrate understanding of the media coverage of a current issue or event,1,Achievement,External,4,Media Studies,Expired,Current
90992,3,Demonstrate understanding of characteristics of a media genre,1,Achievement,External,4,Media Studies,Expired,Current
90993,3,Produce a design and plan for a media product using a specified range of conventions,1,Achievement,Internal,3,Media Studies,Expired,Current
90994,3,Complete a media product from a design and plan using a specified range of conventions,1,Achievement,Internal,6,Media Studies,Expired,Current
90995,3,Demonstrate understanding of rules that govern the media in New Zealand,1,Achievement,Internal,3,Media Studies,Expired,Current
90996,3,Write media texts for a specific target audience,1,Achievement,Internal,3,Media Studies,Expired,Current
90997,2,Devise and perform a drama,1,Achievement,Internal,5,Drama Creation,Expired,Current
90998,2,Demonstrate understanding of features of a drama/theatre form,1,Achievement,External,4,Drama Studies,Expired,Current
90999,4,Use features of a drama/theatre form in a performance,1,Achievement,Internal,4,Drama Performance,Expired,Current
91000,3,Demonstrate understanding of a significant play,1,Achievement,Internal,4,Drama Studies,Expired,Current
91001,3,"Carry out an investigation of an historical event, or place, of significance to New Zealanders",1,Achievement,Internal,4,History,Expired,Current
91002,3,"Demonstrate understanding of an historical event, or place, of significance to New Zealanders",1,Achievement,Internal,4,History,Expired,Current
91003,3,Interpret sources of an historical event of significance to New Zealanders,1,Achievement,External,4,History,Expired,Current
91004,3,Demonstrate understanding of different perspectives of people in an historical event of significance to New Zealanders,1,Achievement,Internal,4,History,Expired,Current
91005,3,Describe the causes and consequences of an historical event,1,Achievement,External,4,History,Expired,Current
91006,4,Describe how a significant historical event affected New Zealand society,1,Achievement,External,4,History,Expired,Current
91007,3,Demonstrate geographic understanding of environments that have been shaped by extreme natural event(s),1,Achievement,External,4,Geography,Expired,Current
91008,3,Demonstrate geographic understanding of population concepts,1,Achievement,External,4,Geography,Expired,Current
91009,3,Demonstrate geographic understanding of the sustainable use of an environment,1,Achievement,Internal,3,Geography,Expired,Current
91010,2,Apply concepts and basic geographic skills to demonstrate understanding of a given environment,1,Achievement,External,4,Geography,Expired,Current
91011,3,"Conduct geographic research, with direction",1,Achievement,Internal,4,Geography,Expired,Current
91012,3,Describe aspects of a contemporary New Zealand geographic issue,1,Achievement,Internal,3,Geography,Expired,Current
91013,2,Describe aspects of a geographic topic at a global scale,1,Achievement,Internal,3,Geography,Expired,Current
91014,2,"Apply spatial analysis, with direction, to solve a geographic problem",1,Achievement,Internal,3,Geography,Expired,Current
